,title,link
0,우후죽순 늘어나는 렌터카에…청소년 무면허 사고 범죄 기승,https://news.google.com/articles/CAIiEB--bdXPim_rTffPBoxdYk8qGQgEKhAIACoHCAow2t-aCDDArqABMJ345AU?hl=ko&gl=KR&ceid=KR%3Ako
1,"[국감2021]윤관석 의원,청소년 무면허 렌터카 사고 증가세",https://news.google.com/articles/CBMiPWh0dHA6Ly93d3cuZGFlaGFuaWxiby5jby5rci9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89NDI5NTnSAQA?hl=ko&gl=KR&ceid=KR%3Ako
2,"가을철 나들이 '렌터카 교통사고' 주의보…""음주·무면허 특히 취약""",https://news.google.com/articles/CAIiELkgg7qH6hfTW0nhq88WRgsqGQgEKhAIACoHCAow3tTdCjDn49MBMJaZkAI?hl=ko&gl=KR&ceid=KR%3Ako
3,최근 7년간 무면허 청소년 렌터카 사고 대전이 전국 4번째,https://news.google.com/articles/CBMiL2h0dHBzOi8vbmV3cy5rYnMuY28ua3IvbmV3cy92aWV3LmRvP25jZD01MjkzMjE00gEA?hl=ko&gl=KR&ceid=KR%3Ako
4,[심층취재] 청소년들 유혹하는 SNS상 렌터카 불법 광고 '여전',https://news.google.com/articles/CBMiPmh0dHBzOi8vd3d3LmlseW9zZW91bC5jby5rci9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89NDU3NzIy0gEA?hl=ko&gl=KR&ceid=KR%3Ako
5,미성년자 무면허 교통사고 지난해 전북에선 한 달에 한번 꼴로 발생,https://news.google.com/articles/CBMiOmh0dHA6Ly93d3cuZG9taW4uY28ua3IvbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTEzNTY1MjLSAQA?hl=ko&gl=KR&ceid=KR%3Ako
6,미성년자 무면허 교통사고 만연,https://news.google.com/articles/CBMiOmh0dHA6Ly93d3cuZ3lvdG9uZ24uY29tL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz0zMjg1MzfSAQA?hl=ko&gl=KR&ceid=KR%3Ako
7,"'무면허 렌터카' 10대, 뺑소니 사고 후 또 운전대 잡았다",https://news.google.com/articles/CBMiOmh0dHBzOi8vd3d3Lmhhbmtvb2tpbGJvLmNvbS9OZXdzL1JlYWQvQTIwMjEwMjI2MTczNDAwMDI1MjnSAQA?hl=ko&gl=KR&ceid=KR%3Ako
8,[밀착카메라] 슬리퍼 찍었는데 '면허 인증'…무면허 중학생도 '쌩쌩',https://news.google.com/articles/CBMiNGh0dHBzOi8vbmV3cy5qdGJjLmpvaW5zLmNvbS9odG1sLzU1OC9OQjEyMDI2NTU4Lmh0bWzSAQA?hl=ko&gl=KR&ceid=KR%3Ako
9,"""다신 이런 일 없도록"" 호소에도…연인 앗아간 렌터카에 또 죽었다",https://news.google.com/articles/CBMiOmh0dHBzOi8vd3d3Lmhhbmtvb2tpbGJvLmNvbS9OZXdzL1JlYWQvQTIwMjAxMTA1MTEyMTAwMDE1MDDSAQA?hl=ko&gl=KR&ceid=KR%3Ako
10,무면허 렌트카 어플로 인한 사고,https://news.google.com/articles/CBMiOWh0dHA6Ly93d3cua2dtYWVpbC5uZXQvbmV3cy9hcnRpY2xlVmlldy5odG1sP2lkeG5vPTI1MjQyMNIBAA?hl=ko&gl=KR&ceid=KR%3Ako
11,멈추지 않는 질주...'10대 무면허 교통사고',https://news.google.com/articles/CAIiEIX1eoDsOgBz_T8f38wHF9wqGQgEKhAIACoHCAowgvDcCjCoxM8BML-iiwI?hl=ko&gl=KR&ceid=KR%3Ako
12,렌터카 무면허 교통사고 매년 증가…10대 무면허 운전이 37%,https://news.google.com/articles/CBMiL2h0dHBzOi8vd3d3LnluYS5jby5rci92aWV3L0FLUjIwMjAxMTA0MDM1ODAwNTMw0gExaHR0cHM6Ly9tLnluYS5jby5rci9hbXAvdmlldy9BS1IyMDIwMTEwNDAzNTgwMDUzMA?hl=ko&gl=KR&ceid=KR%3Ako
13,평소보다 교통사고 많은 추석...슬기로운 보험 대처법은?,https://news.google.com/articles/CBMiOmh0dHBzOi8vd3d3Lmhhbmtvb2tpbGJvLmNvbS9OZXdzL1JlYWQvQTIwMjEwOTE3MTYxNTAwMDA1NjXSAQA?hl=ko&gl=KR&ceid=KR%3Ako
14,누구나 몰 수 있는 렌터카....예견된 탑정호 비극,https://news.google.com/articles/CBMiOGh0dHA6Ly93d3cuZ2dpbGJvLmNvbS9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89ODY5OTQw0gE7aHR0cDovL3d3dy5nZ2lsYm8uY29tL25ld3MvYXJ0aWNsZVZpZXdBbXAuaHRtbD9pZHhubz04Njk5NDA?hl=ko&gl=KR&ceid=KR%3Ako
15,미성년자의 무면허 렌터카 질주...시스템은 '유명무실',https://news.google.com/articles/CBMiPGh0dHBzOi8vd3d3LnNpc2F3ZWVrbHkuY29tL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz0zMjk4NtIBAA?hl=ko&gl=KR&ceid=KR%3Ako
16,보험접수 거부... 피해자 두 번 울리는 '10대 렌터카 사고',https://news.google.com/articles/CBMiOmh0dHBzOi8vd3d3Lmhhbmtvb2tpbGJvLmNvbS9OZXdzL1JlYWQvQTIwMjAxMTA2MTcxNDAwMDA3NjDSAQA?hl=ko&gl=KR&ceid=KR%3Ako
17,"렌터카 3일 빌렸다 4200만원 폭탄…사고 땐 호갱 ""차라리 차 살 걸""",https://news.google.com/articles/CBMiN2h0dHBzOi8vd3d3Lm1rLmNvLmtyL25ld3MvYnVzaW5lc3Mvdmlldy8yMDIxLzA1LzUxODc2Ny_SAQA?hl=ko&gl=KR&ceid=KR%3Ako
18,“14살도 빌려드립니다”…10대 무면허 사고 끊이지 않는 이유 있었네!,https://news.google.com/articles/CBMiQ2h0dHBzOi8vd3d3LmRvbmdhLmNvbS9uZXdzL1NvY2lldHkvYXJ0aWNsZS9hbGwvMjAyMDEwMTMvMTAzNDAyNjI4LzHSATdodHRwczovL3d3dy5kb25nYS5jb20vbmV3cy9hbXAvYWxsLzIwMjAxMDEzLzEwMzQwMjYyOC8x?hl=ko&gl=KR&ceid=KR%3Ako
19,“인생 진짜 망했습니다” 쏘카로 7억 롤스로이스 박은 20대 운전자가 물어내야 하는 금액 수준,https://news.google.com/articles/CAIiENGrgyZlS26RoBW5QJvVqZEqGQgEKhAIACoHCAowrN-RCzCe8KYDMPbUuQY?hl=ko&gl=KR&ceid=KR%3Ako
20,"사망사고 낸 '무면허 렌터카' 10대들, 숨겨진 범행 더 있었다",https://news.google.com/articles/CBMiMmh0dHBzOi8vY20uYXNpYWUuY28ua3IvYXJ0aWNsZS8yMDIwMTAxMjIxNTgzNjE3Nzg40gE5aHR0cHM6Ly9jbS5hc2lhZS5jby5rci9hbXB2aWV3Lmh0bT9ubz0yMDIwMTAxMjIxNTgzNjE3Nzg4?hl=ko&gl=KR&ceid=KR%3Ako
21,[이슈 컷] 수능 끝났으니 달리자? 10대들 무면허 질주에 브레이크,https://news.google.com/articles/CBMiL2h0dHBzOi8vd3d3LnluYS5jby5rci92aWV3L01ZSDIwMjAxMjEwMDE4NTAwNzk30gExaHR0cHM6Ly9tLnluYS5jby5rci9hbXAvdmlldy9NWUgyMDIwMTIxMDAxODUwMDc5Nw?hl=ko&gl=KR&ceid=KR%3Ako
22,'목포 고교생 무면허 렌터카 사고' 경찰 수사 본격화,https://news.google.com/articles/CBMiM2h0dHBzOi8vbmV3c2lzLmNvbS92aWV3Lz9pZD1OSVNYMjAyMDA5MTVfMDAwMTE2NjIzNNIBAA?hl=ko&gl=KR&ceid=KR%3Ako
23,무면허 렌터카 운전한 10대…논두렁에 차량 박혀 '검거',https://news.google.com/articles/CAIiEGKh5DuueoHwiWVtgEGY99UqGQgEKhAIACoHCAow0__cCjDUitABMP3bjQY?hl=ko&gl=KR&ceid=KR%3Ako
24,"무면허 렌터카 운전 처벌 청원에…靑 ""처벌 강화 방안 추진""",https://news.google.com/articles/CAIiEG5-766fgmP4D_VOR8CHGrkqGQgEKhAIACoHCAow0__cCjDUitABMPnLjQY?hl=ko&gl=KR&ceid=KR%3Ako
25,"늘어나는 청소년 렌터카 사고, 업체 34%는 면허도 제대로 확인 안 한다",https://news.google.com/articles/CBMiMmh0dHBzOi8vY20uYXNpYWUuY28ua3IvYXJ0aWNsZS8yMDIwMTAxNjA3Mjk0MjEwNDEx0gE5aHR0cHM6Ly9jbS5hc2lhZS5jby5rci9hbXB2aWV3Lmh0bT9ubz0yMDIwMTAxNjA3Mjk0MjEwNDEx?hl=ko&gl=KR&ceid=KR%3Ako
26,훔친 차량으로 음주 무면허 질주하다 쾅! 운전자가 촉법소년이라면 처벌은?,https://news.google.com/articles/CBMiMWh0dHBzOi8vd3d3Lnl0bi5jby5rci9fbG4vMDEwM18yMDIxMDMwMzEzNTIxNjMzMDbSAUNodHRwczovL20ueXRuLmNvLmtyL25ld3Nfdmlldy5hbXAucGhwP3BhcmFtPTAxMDNfMjAyMTAzMDMxMzUyMTYzMzA2?hl=ko&gl=KR&ceid=KR%3Ako
27,'10대 무면허 사고' 사람 죽어도 보호처분…이번엔 처벌 강화될까,https://news.google.com/articles/CBMiN2h0dHBzOi8vbmV3cy5tdC5jby5rci9tdHZpZXcucGhwP25vPTIwMjAxMDA1MTA1MjI1MTM0OTbSAT1odHRwczovL20ubXQuY28ua3IvcmVuZXcvdmlld19hbXAuaHRtbD9ubz0yMDIwMTAwNTEwNTIyNTEzNDk2?hl=ko&gl=KR&ceid=KR%3Ako
28,"교통안전공단 ""렌터카 교통사고, 사망자 수는 감소...무면허 운전은 증가""",https://news.google.com/articles/CBMiP2h0dHA6Ly9tLmctZW5ld3MuY29tL3ZpZXcucGhwP3VkPTIwMjAxMTA1MTgxODU5NDYyOTYyMGUwMmU4ZTNfMdIBAA?hl=ko&gl=KR&ceid=KR%3Ako
29,최근 5년 10대 청소년 무면허 교통사고 3천301건…91명 사망,https://news.google.com/articles/CBMiL2h0dHBzOi8vd3d3LnluYS5jby5rci92aWV3L0FLUjIwMjAxMDA4MDU5MDAwMDA00gExaHR0cHM6Ly9tLnluYS5jby5rci9hbXAvdmlldy9BS1IyMDIwMTAwODA1OTAwMDAwNA?hl=ko&gl=KR&ceid=KR%3Ako
30,5년 새 급증한 렌터카 무면허 사고…미성년자 운전자 사고 두드러져,https://news.google.com/articles/CBMiOmh0dHBzOi8vd3d3Lm50b2RheS5jby5rci9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89Njg5NTHSAQA?hl=ko&gl=KR&ceid=KR%3Ako
31,훔친 차에 경찰 매달고 ‘지그재그 질주’…막가는 무면허 10대들,https://news.google.com/articles/CBMiQ2h0dHBzOi8vd3d3LmRvbmdhLmNvbS9uZXdzL1NvY2lldHkvYXJ0aWNsZS9hbGwvMjAyMTA4MDMvMTA4MzM1NTU3LzHSATdodHRwczovL3d3dy5kb25nYS5jb20vbmV3cy9hbXAvYWxsLzIwMjEwODAzLzEwODMzNTU1Ny8x?hl=ko&gl=KR&ceid=KR%3Ako
32,"무면허운전, 10대라 해도 처벌 피하기 어려워… 보호자에게도 법적 책임 물을 수 있다",https://news.google.com/articles/CBMiRGh0dHBzOi8vbS5sYXdpc3N1ZS5jby5rci92aWV3LnBocD91ZD0yMDIxMDQyMTExNDQwNTQwMzk2Y2YyZDc4YzY4XzEy0gEA?hl=ko&gl=KR&ceid=KR%3Ako
33,무면허 10대들 탄 렌터카 전복…1명 사망·4명 중상(종합),https://news.google.com/articles/CBMiL2h0dHBzOi8vd3d3LnluYS5jby5rci92aWV3L0FLUjIwMjAwMzE4MDE0MjUxMDY10gExaHR0cHM6Ly9tLnluYS5jby5rci9hbXAvdmlldy9BS1IyMDIwMDMxODAxNDI1MTA2NQ?hl=ko&gl=KR&ceid=KR%3Ako
34,반복되는 청소년 렌터카 사고... 앱 통한 손쉬운 대여가 무면허사고 유발,https://news.google.com/articles/CBMiPWh0dHA6Ly93d3cuam9vbmdib28uY29tL25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz0zNjM0MjU3OTnSAQA?hl=ko&gl=KR&ceid=KR%3Ako
35,"청소년 무면허 렌터카 사고 5년간 405건...박찬대 ""렌터카 예약 사용자인증 시스템 도입해야""",https://news.google.com/articles/CBMiPWh0dHBzOi8vd3d3LmVkdWlubmV3cy5jby5rci9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89MzEwODLSAQA?hl=ko&gl=KR&ceid=KR%3Ako
36,"""난 빌려주기만 했는데""로 끝나지 않습니다⋯'미성년 무면허 사고' 브로커가 평생 질 책임",https://news.google.com/articles/CBMiH2h0dHBzOi8vbmV3cy5sYXd0YWxrLmNvLmtyLzI4MjLSAQA?hl=ko&gl=KR&ceid=KR%3Ako
37,'이번엔 광주' 또 무면허 미성년 렌터카 사고,https://news.google.com/articles/CBMiKWh0dHA6Ly9tLmhvbmFtLmNvLmtyL2RldGFpbC9jM1F5Y04vNjEzNjg40gEA?hl=ko&gl=KR&ceid=KR%3Ako
38,"‘무서운 10대’, 고교생들 무면허로 렌터카 몰다 사고...3명 사망·4명 부상 - 조선일보",https://news.google.com/articles/CBMiT2h0dHBzOi8vd3d3LmNob3N1bi5jb20vbmF0aW9uYWwvaW5jaWRlbnQvMjAyMC8wOS8xNC9OMzJNT0pIS0tSQlhOQ1ZRUk5XUzdRTldJVS_SAV5odHRwczovL3d3dy5jaG9zdW4uY29tL25hdGlvbmFsL2luY2lkZW50LzIwMjAvMDkvMTQvTjMyTU9KSEtLUkJYTkNWUVJOV1M3UU5XSVUvP291dHB1dFR5cGU9YW1w?hl=ko&gl=KR&ceid=KR%3Ako
39,'무면허 뺑소니 사고 강력 처벌해달라' 청소년 렌터카 사각지대,https://news.google.com/articles/CBMiMmh0dHBzOi8vY20uYXNpYWUuY28ua3IvYXJ0aWNsZS8yMDIwMTAyMDExMTkzNTAxMzUy0gE5aHR0cHM6Ly9jbS5hc2lhZS5jby5rci9hbXB2aWV3Lmh0bT9ubz0yMDIwMTAyMDExMTkzNTAxMzUy?hl=ko&gl=KR&ceid=KR%3Ako
40,"10대 무면허 운전에 숨진 딸… ""사과도 없는 가해자""",https://news.google.com/articles/CBMiOGh0dHBzOi8vbS5oYW5rb29raWxiby5jb20vTmV3cy9SZWFkL0EyMDIwMTAwNzA5NTcwMDAwNjA20gEA?hl=ko&gl=KR&ceid=KR%3Ako
41,무면허 10대에 '범죄 핸들' 쥐여준 '비대면 공유차 대여',https://news.google.com/articles/CBMiOmh0dHBzOi8vd3d3Lmhhbmtvb2tpbGJvLmNvbS9OZXdzL1JlYWQvQTIwMjAxMDI4MjAzNDAwMDUwNjHSAQA?hl=ko&gl=KR&ceid=KR%3Ako
42,제주 5.16도로서 교통사고 차량 화재…3명 부상,https://news.google.com/articles/CBMiOmh0dHA6Ly93d3cuamVqdXNvcmkubmV0L25ld3MvYXJ0aWNsZVZpZXcuaHRtbD9pZHhubz0zMzMzNDjSAT1odHRwOi8vd3d3LmplanVzb3JpLm5ldC9uZXdzL2FydGljbGVWaWV3QW1wLmh0bWw_aWR4bm89MzMzMzQ4?hl=ko&gl=KR&ceid=KR%3Ako
43,[단독] 무면허 운전·차량절도·뺑소니…무서운 10대,https://news.google.com/articles/CBMiOGh0dHBzOi8vd3d3LnlvbmhhcG5ld3N0di5jby5rci9uZXdzL01ZSDIwMjEwNjI4MDIwMDAwNjQx0gEA?hl=ko&gl=KR&ceid=KR%3Ako
44,"무면허 10대, 차 사고 비상…면허도용·공유앱으로 맘대로 대여",https://news.google.com/articles/CAIiEOi6CE8D7MhRT37xH_IdgFgqGQgEKhAIACoHCAowjrvdCjDG5dEBMJHSjwI?hl=ko&gl=KR&ceid=KR%3Ako
45,"""렌터카 교통사고 사망자 절반이 10∼20대…무면허 사고 늘어""",https://news.google.com/articles/CAIiEJUpQM7xS14SCg13a8oYpSwqGQgEKhAIACoHCAow0__cCjDUitABMP3bjQY?hl=ko&gl=KR&ceid=KR%3Ako
46,10대 무면허 운전 사고... 미성년에게 렌터카 빌려주는 속사정은?[종합],https://news.google.com/articles/CBMiOGh0dHA6Ly93d3cuZ2dpbGJvLmNvbS9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89ODAxNzk20gE7aHR0cDovL3d3dy5nZ2lsYm8uY29tL25ld3MvYXJ0aWNsZVZpZXdBbXAuaHRtbD9pZHhubz04MDE3OTY?hl=ko&gl=KR&ceid=KR%3Ako
47,[사건·사고 25시] 조건만남 미끼 퍽치기·보이스피싱 조직원...경찰 비웃는 중학생들,https://news.google.com/articles/CAIiEBxntYeZxJXD2frnsDqwp8MqFwgEKg8IACoHCAowooqjAjD-pEAwj-NL?hl=ko&gl=KR&ceid=KR%3Ako
48,무면허 뺑소니 후 운전자 바꿔치기 10대 구속,https://news.google.com/articles/CBMiQ2h0dHBzOi8vd3d3LmRvbmdhLmNvbS9uZXdzL1NvY2lldHkvYXJ0aWNsZS9hbGwvMjAyMTA3MzAvMTA4MjU1NjU4LzHSATdodHRwczovL3d3dy5kb25nYS5jb20vbmV3cy9hbXAvYWxsLzIwMjEwNzMwLzEwODI1NTY1OC8x?hl=ko&gl=KR&ceid=KR%3Ako
49,"청소년 무면허 렌터카 사고 한해 평균 63건..."" 카셰어링 디바이스 인증 시스템 구축해야""",https://news.google.com/articles/CBMiPWh0dHBzOi8vd3d3LmVkdWlubmV3cy5jby5rci9uZXdzL2FydGljbGVWaWV3Lmh0bWw_aWR4bm89MTA4ODDSAQA?hl=ko&gl=KR&ceid=KR%3Ako
50,중학생이 몰던 차 논두렁에 '쿵'…10대 무면허 사고 잇따라,https://news.google.com/articles/CBMiL2h0dHBzOi8vbmV3cy5rYnMuY28ua3IvbmV3cy92aWV3LmRvP25jZD01MTE1OTYy0gEA?hl=ko&gl=KR&ceid=KR%3Ako
